epoch,categorical_accuracy,loss,val_categorical_accuracy,val_loss
0,0.4279015362262726,1.2811073064804077,0.5698924660682678,0.9850902557373047
1,0.5685814619064331,0.9452293515205383,0.5698924660682678,0.9514282941818237
2,0.5685814619064331,0.9498962163925171,0.5698924660682678,0.9483189582824707
3,0.5685814619064331,0.9353745579719543,0.5698924660682678,0.9629298448562622
4,0.5685814619064331,0.9157336950302124,0.5698924660682678,0.9286535978317261
5,0.6025791168212891,0.8588926792144775,0.6774193644523621,0.7862592935562134
6,0.6893317699432373,0.6712136268615723,0.8172042965888977,0.49736449122428894
7,0.807737410068512,0.45703718066215515,0.8817204236984253,0.33809152245521545
8,0.8581477403640747,0.3576209843158722,0.698924720287323,0.8340713381767273
9,0.8042203783988953,0.5639312267303467,0.8172042965888977,0.4300997257232666
10,0.8569753766059875,0.35999733209609985,0.8924731016159058,0.33399248123168945
11,0.8792496919631958,0.30186209082603455,0.8817204236984253,0.27356773614883423
12,0.8956623673439026,0.2587418854236603,0.8924731016159058,0.254149466753006
13,0.9026963710784912,0.22911737859249115,0.8709677457809448,0.2661173343658447
14,0.919109046459198,0.20848184823989868,0.9032257795333862,0.3047565817832947
15,0.9214537143707275,0.1967790573835373,0.9139785170555115,0.20683635771274567
16,0.919109046459198,0.2216690480709076,0.9354838728904724,0.20002254843711853
17,0.9343493580818176,0.15188714861869812,0.9354838728904724,0.20062702894210815
18,0.9460726976394653,0.12138371914625168,0.9462365508079529,0.17616818845272064
19,0.9495896697044373,0.16886590421199799,0.9569892287254333,0.12653149664402008
20,0.953106701374054,0.11632755398750305,0.9569892287254333,0.15138481557369232
21,0.9671746492385864,0.08553039282560349,0.9462365508079529,0.1389426290988922
22,0.9683470129966736,0.08177822828292847,0.9354838728904724,0.1282922625541687
23,0.974208652973175,0.06845294684171677,0.9462365508079529,0.213346928358078
24,0.9824150204658508,0.05044591426849365,0.9462365508079529,0.16470874845981598
25,0.9906213283538818,0.028866693377494812,0.9462365508079529,0.09104589372873306
